"name","reading","longitude","latitude","geom"
"new_new_emote_1705","CO||Humidity||NO||NO2||Sound||Temperature",-1.62235576473928,54.9717950126235,"0101000020E61000003D8480512BF5F9BF21D16AC7637C4B40"
"new_new_emote_906","CO||Humidity||NO||NO2||Sound||Temperature",-1.62071470369061,54.9685638389847,"0101000020E6100000D4F5878A72EEF9BF8B435EE6F97B4B40"
"new_new_emote_2761","CO||Humidity||NO||NO2||Sound||Temperature",-1.61983925861223,55.0066987276153,"0101000020E610000029430892DCEAF9BF23040081DB804B40"
"new_new_emote_1107","CO||Humidity||NO||NO2||Sound||Temperature",-1.62419771906737,54.9736159392216,"0101000020E61000003F1D5ABFB6FCF9BF1FE974729F7C4B40"
"new_new_emote_1108","CO||Humidity||NO||NO2||Sound||Temperature",0,0,"0101000020E610000000000000000000000000000000000000"
"new_new_emote_1906","CO||Humidity||NO||NO2||Sound||Temperature",-1.62157944828272,54.9729518297722,"0101000020E610000010D7A34AFDF1F9BF42BA80AF897C4B40"
"new_new_emote_2102","CO||Humidity||NO||NO2||Sound||Temperature",-1.61638,54.994983,"0101000020E610000022895E46B1DCF9BFB9895A9A5B7F4B40"
"new_new_emote_1905","CO||Humidity||NO||NO2||Sound||Temperature",-1.62205357059522,54.9723691956682,"0101000020E61000006210E171EEF3F9BF32840398767C4B40"
"new_new_emote_2104","CO||Humidity||NO||NO2||Sound||Temperature",-1.617637,54.995627,"0101000020E6100000F7CABC55D7E1F9BFDE019EB4707F4B40"
"amey_emote_1307","CO||Humidity||NO||NO2||Sound||Temperature",-1.6063362,54.961392,"0101000020E61000003B1856968DB3F9BF69519FE40E7B4B40"
"new_new_emote_2751","CO||Humidity||NO2||Sound||Temperature",0,0,"0101000020E610000000000000000000000000000000000000"
"new_new_emote_2905","CO||Humidity||NO||NO2||Sound||Temperature",-1.62142920584641,55.0121942561422,"0101000020E6100000B73B3EC05FF1F9BF37AAD5948F814B40"
"new_new_emote_904","CO||Humidity||NO||NO2||Sound||Temperature",-1.62009000168201,54.9685529043185,"0101000020E610000038D05C7EE3EBF9BF323FA48AF97B4B40"
"new_new_emote_1908","CO||Humidity||NO||NO2||Sound||Temperature",-1.62310237397882,54.9721388049708,"0101000020E6100000BFC8E4313AF8F9BFD9425B0B6F7C4B40"
"Foobot_25006766306021C0","allpollu||CO2||Humidity||PM||Temperature||VOC",-1.623512,54.972568,"0101000020E6100000E99D0AB8E7F9F9BF6D91B41B7D7C4B40"
"Foobot_25006764054020B0","allpollu||CO2||Humidity||PM||Temperature||VOC",-1.623406,54.97269,"0101000020E61000003315E29178F9F9BFB8921D1B817C4B40"
"Foobot_2D025767691014F0","allpollu||CO2||Humidity||PM||Temperature||VOC",-1.623409,54.972645,"0101000020E6100000568330B77BF9F9BF18CFA0A17F7C4B40"
